"id","bucket","measure","avg","min","max"
"bst2000-201383","2022-08-02 07:00:00","slave_shaft_drive_heat",34.4,34,35
"bst2000-201383","2022-08-02 07:00:00","slave_shaft_motor_heat",45.0,45,45
"bst2000-201383","2022-08-02 06:50:00","master_shaft_drive_heat",34.0,34,34
"bst2000-201383","2022-08-02 06:50:00","master_shaft_motor_heat",43.0,43,43
"bst2000-201383","2022-08-02 06:50:00","pusher_left_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 06:50:00","pusher_right_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 06:50:00","slave_shaft_drive_heat",35.0,35,35
"bst2000-201383","2022-08-02 06:50:00","slave_shaft_motor_heat",45.8,45,46
"bst2000-201383","2022-08-02 06:40:00","master_shaft_drive_heat",34.67,34,35
"bst2000-201383","2022-08-02 06:40:00","master_shaft_motor_heat",44.33,44,45
"bst2000-201383","2022-08-02 06:40:00","pusher_left_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 06:40:00","pusher_right_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 06:40:00","slave_shaft_drive_heat",35.33,35,36
"bst2000-201383","2022-08-02 06:40:00","slave_shaft_motor_heat",46.83,46,47
"bst2000-201383","2022-08-02 06:30:00","master_shaft_drive_heat",35.2,35,36
"bst2000-201383","2022-08-02 06:30:00","master_shaft_motor_heat",45.2,45,46
"bst2000-201383","2022-08-02 06:30:00","pusher_left_motor_heat",29.0,29,29
"bst2000-201383","2022-08-02 06:30:00","pusher_right_motor_heat",29.2,29,30
"bst2000-201383","2022-08-02 06:30:00","slave_shaft_drive_heat",36.2,36,37
"bst2000-201383","2022-08-02 06:30:00","slave_shaft_motor_heat",48.0,47,49
"bst2000-201383","2022-08-02 06:20:00","master_shaft_drive_heat",36.4,36,37
"bst2000-201383","2022-08-02 06:20:00","master_shaft_motor_heat",46.6,46,47
"bst2000-201383","2022-08-02 06:20:00","pusher_left_motor_heat",30.0,30,30
"bst2000-201383","2022-08-02 06:20:00","pusher_right_motor_heat",30.0,30,30
"bst2000-201383","2022-08-02 06:20:00","slave_shaft_drive_heat",37.0,37,37
"bst2000-201383","2022-08-02 06:20:00","slave_shaft_motor_heat",49.2,49,50
"bst2000-201383","2022-08-02 06:10:00","master_shaft_drive_heat",37.6,37,38
"bst2000-201383","2022-08-02 06:10:00","master_shaft_motor_heat",47.6,47,48
"bst2000-201383","2022-08-02 06:10:00","pusher_left_motor_heat",30.0,30,30
"bst2000-201383","2022-08-02 06:10:00","pusher_right_motor_heat",30.0,30,30
"bst2000-201383","2022-08-02 06:10:00","slave_shaft_drive_heat",38.4,38,39
"bst2000-201383","2022-08-02 06:10:00","slave_shaft_motor_heat",50.6,50,51
"bst2000-201383","2022-08-02 06:00:00","master_shaft_drive_heat",39.83,39,41
"bst2000-201383","2022-08-02 06:00:00","master_shaft_motor_heat",49.33,49,50
"bst2000-201383","2022-08-02 06:00:00","pusher_left_motor_heat",30.17,30,31
"bst2000-201383","2022-08-02 06:00:00","pusher_right_motor_heat",30.5,30,31
"bst2000-201383","2022-08-02 06:00:00","slave_shaft_drive_heat",40.0,39,41
"bst2000-201383","2022-08-02 06:00:00","slave_shaft_motor_heat",51.83,51,53
"bst2000-201383","2022-08-02 05:50:00","master_shaft_drive_heat",42.4,41,44
"bst2000-201383","2022-08-02 05:50:00","master_shaft_motor_heat",51.0,50,52
"bst2000-201383","2022-08-02 05:50:00","pusher_left_motor_heat",31.0,31,31
"bst2000-201383","2022-08-02 05:50:00","pusher_right_motor_heat",31.0,31,31
"bst2000-201383","2022-08-02 05:50:00","slave_shaft_drive_heat",42.2,41,43
"bst2000-201383","2022-08-02 05:50:00","slave_shaft_motor_heat",53.6,53,54
"bst2000-201383","2022-08-02 05:40:00","master_shaft_drive_heat",45.6,44,47
"bst2000-201383","2022-08-02 05:40:00","master_shaft_motor_heat",53.0,52,54
"bst2000-201383","2022-08-02 05:40:00","pusher_left_motor_heat",31.6,31,32
"bst2000-201383","2022-08-02 05:40:00","pusher_right_motor_heat",31.6,31,32
"bst2000-201383","2022-08-02 05:40:00","slave_shaft_drive_heat",45.0,44,46
"bst2000-201383","2022-08-02 05:40:00","slave_shaft_motor_heat",55.8,55,57
"bst2000-201383","2022-08-02 05:30:00","master_shaft_drive_heat",50.5,48,53
"bst2000-201383","2022-08-02 05:30:00","master_shaft_motor_heat",55.67,54,57
"bst2000-201383","2022-08-02 05:30:00","pusher_left_motor_heat",35.0,32,39
"bst2000-201383","2022-08-02 05:30:00","pusher_right_motor_heat",34.17,32,37
"bst2000-201383","2022-08-02 05:30:00","slave_shaft_drive_heat",49.33,47,51
"bst2000-201383","2022-08-02 05:30:00","slave_shaft_motor_heat",58.17,57,59
"bst2000-201383","2022-08-02 05:20:00","master_shaft_drive_heat",54.2,52,56
"bst2000-201383","2022-08-02 05:20:00","master_shaft_motor_heat",55.8,54,57
"bst2000-201383","2022-08-02 05:20:00","pusher_left_motor_heat",38.2,38,39
